Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD
1990,Argentina,Pampas,Wheat,15.540977318740612,1406.1218858144505,15.372830417507744,4.874022835022341,8,61.06,20.34,60.94,64.41132840973188,No Adaptation,493.9090275760053
1990,Argentina,Northeast,Fruits,15.382232705195008,1493.707348361837,15.372097767530072,5.58514711367501,8,61.33,43.73,23.63,63.20258271565082,Drought-resistant Crops,516.4526201153753
1990,Argentina,Northeast,Corn,15.578720915012978,1425.1687179790586,15.358340351579935,6.251537628823282,0,97.23,37.02,51.92,62.45197419376304,Crop Rotation,663.7181932970477
1990,Argentina,Northeast,Coffee,15.79755624458981,1591.3716639053985,15.375439000165207,6.886445284197283,8,80.49,26.03,56.52,61.541224867040455,No Adaptation,637.0970377888779
1990,Argentina,Pampas,Coffee,15.35826043680697,1846.561013543702,15.352097260159898,7.369012571465949,10,16.76,3.61,35.97,61.93462356502252,Crop Rotation,430.3615657159677
1990,Argentina,Pampas,Vegetables,15.35826454125051,1384.39021820689,15.361524536586531,7.85543339906002,3,46.85,12.24,53.53,61.92396434803405,Crop Rotation,567.5935029577009
1990,Argentina,Northeast,Fruits,15.811601984364652,1800.4528971478196,15.346356691186221,7.97962876008757,8,24.94,1.11,92.01,61.1334169084998,Crop Rotation,552.2452942039407
1990,Argentina,Patagonia,Barley,15.608657462776032,1381.894138172054,15.386480656548706,8.694815774978213,8,66.22,8.35,95.08,59.9458532298501,Organic Farming,704.9587098740195
1990,Argentina,Patagonia,Cotton,15.299430184004066,1366.4067795866158,15.366291019721615,9.432711461237714,2,63.64,33.46,27.32,59.19366590646087,No Adaptation,682.0480157556972
1990,Argentina,Northeast,Corn,15.552438791384295,1757.6632444871377,15.39334059563178,9.841010969472517,8,99.74,47.82,66.29,57.73480376912692,Organic Farming,871.0774936262633
1990,Argentina,Northeast,Cotton,15.300944357284688,1781.929600151502,15.37795812254824,10.15464243427085,4,46.43,42.33,45.91,57.05996520136643,Crop Rotation,713.5019095421882
1990,Argentina,Northwest,Rice,15.30036634209524,1765.3688244055704,15.373956098628419,11.120655077782098,6,96.53,45.3,42.43,55.43934220397015,Water Management,882.6964785001944
1990,Argentina,Northwest,Coffee,15.477289348379312,1256.4726685581165,15.362290952682601,11.586101034125138,4,40.12,21.4,53.24,54.74012195862826,Crop Rotation,734.7305465356312
1990,Argentina,Patagonia,Soybeans,14.938478719323355,1456.0306768694345,15.357101684748933,11.916719175135126,8,14.6,16.11,4.05,54.33709000388647,Water Management,607.4203628810807
1990,Argentina,Northwest,Fruits,14.985569322359545,1758.695022230833,15.374800521717676,12.0,8,52.41,27.5,47.41,52.52252230140292,Water Management,786.899
1990,Argentina,Pampas,Wheat,15.27622689817756,1575.1983906196435,15.368095902758418,12.0,0,22.6,13.41,89.45,51.61906559740588,Organic Farming,745.868
1990,Argentina,Northeast,Sugarcane,15.163591000404198,1313.3228269939473,15.353798124633965,12.0,0,100.0,24.62,68.72,50.150761867492555,Drought-resistant Crops,930.524
1990,Argentina,Pampas,Rice,15.495360613636622,1673.0643169687214,15.351795282878394,12.0,4,19.57,43.5,3.81,49.66621330747209,Organic Farming,672.5589999999999
1990,Argentina,Northeast,Barley,15.189792761607501,1397.5951030828808,15.358090161349878,12.0,8,93.37,16.44,33.8,49.26128810881336,Organic Farming,850.3369999999999
1990,Argentina,Northeast,Corn,15.063722855153982,1986.8278159331883,15.389439339713565,12.0,9,13.86,33.4,97.57,47.62148019587964,Water Management,771.3679999999999
1990,Argentina,Northeast,Rice,15.783210972718193,1928.1980241897281,15.393863826669957,12.0,6,59.14,37.87,9.89,47.2546946935901,Organic Farming,769.8620000000001
1990,Argentina,Northeast,Vegetables,15.36035470536617,1707.2957534875381,15.37121431026635,12.0,6,66.28,21.31,33.35,47.324503897067586,Crop Rotation,790.748
1990,Argentina,Pampas,Barley,15.433680831659785,1885.030580292342,15.370582218524172,12.0,7,54.86,36.43,25.95,46.42586545581719,Water Management,779.054
1990,Argentina,Pampas,Fruits,15.06061173393444,1580.657760286124,15.365109411901127,12.0,9,85.92,3.46,66.44,45.58303757125968,No Adaptation,854.0439999999999
1990,Argentina,Pampas,Soybeans,15.280703099356508,1745.1810719317648,15.358363296678808,12.0,8,30.57,40.92,17.3,45.125407406958985,Drought-resistant Crops,714.3009999999999
1991,Argentina,Patagonia,Coffee,15.46452942791527,1912.43686317275,15.538100757236101,12.0,10,13.89,42.2,74.44,43.81761155878128,Organic Farming,754.9010000000001
1991,Argentina,Northeast,Vegetables,15.149050386132227,1623.0908327993598,15.543721691241455,12.0,3,63.65,42.95,30.19,43.18487070929172,Water Management,818.701
1991,Argentina,Patagonia,Coffee,15.530723285074222,1505.5215071757405,15.512515467106128,12.0,10,47.809999999999995,42.3,45.99,41.3737784869859,Organic Farming,800.0509999999999
1991,Argentina,Northeast,Fruits,15.286639108008103,1165.170228470183,15.52165721071236,12.0,1,60.9,36.76,24.19,41.110024016091735,Crop Rotation,792.284
1991,Argentina,Northwest,Barley,15.363875343039485,1545.9225510104575,15.517517863289987,12.0,9,77.53,3.75,65.62,39.92435129000093,No Adaptation,832.443
1991,Argentina,Northwest,Corn,15.286372127430454,1758.7970717569858,15.51785199966896,12.0,9,34.099999999999994,24.49,14.25,39.4067647377549,Drought-resistant Crops,689.282
1991,Argentina,Pampas,Fruits,15.899868326615039,1787.4940596177114,15.53596615776954,12.0,9,34.419999999999995,20.72,82.59,38.484210800258666,Organic Farming,778.972
1991,Argentina,Northwest,Fruits,15.43342447430332,1683.876944456928,15.50779513781835,12.0,5,13.690000000000001,30.81,38.0,38.1638028439834,Water Management,682.883
1991,Argentina,Pampas,Fruits,15.172371048248829,1438.3376918744518,15.527852316868968,12.0,9,71.13,39.58,95.7,36.831652825452245,Crop Rotation,923.0490000000001
1991,Argentina,Northeast,Rice,15.642435008513601,1101.2532544597914,15.530804545715238,12.0,0,85.24,4.19,61.5,35.99609138386165,No Adaptation,846.7420000000001
1991,Argentina,Patagonia,Soybeans,15.131587867995048,1449.1589771345234,15.520988279955535,12.0,6,84.81,28.91,33.73,35.196481511738995,No Adaptation,851.285
1991,Argentina,Northeast,Cotton,15.489014679238993,1493.9784656739764,15.532663498219568,12.0,5,77.97,16.79,93.44,33.71787218130043,No Adaptation,895.963
1991,Argentina,Northeast,Coffee,14.94688124951786,1491.9627778187353,15.524256683493073,12.0,9,77.39,0.88,19.87,33.799540099937204,Water Management,762.877
1991,Argentina,Pampas,Fruits,15.104752268263196,1710.6909497194188,15.536318276269792,12.0,4,66.36,41.21,94.91,32.711261736327515,Crop Rotation,912.952
1991,Argentina,Northwest,Coffee,15.486014089455084,2031.71336674501,15.505424004966157,12.0,10,48.73,45.59,41.73,31.646698843340328,Water Management,802.3090000000001
1991,Argentina,Pampas,Vegetables,15.621415425486656,1594.4503800883358,15.518657969830151,11.985959287631328,7,16.57,19.89,50.11,31.033300781372574,Drought-resistant Crops,686.7491679434097
